City,Country
Summerside,Canada
Shimonoseki,Japan
Purong,China
Jubao,China
Laixi,China
Xicheng,China
Sochaux,France
Hengdian,China
Fiditi,Nigeria
Begowāla,Pakistan
Jasionów,Poland
Saint Petersburg,Russia
Kuroiso,Japan
Nūr,Iran
Carcassonne,France
Prnjavor,Serbia
Vol’sk,Russia
Memphis,United States
Konotop,Ukraine
Xialiao,China
Elekmonar,Russia
Sinyavino,Russia
Morje,Slovenia
Buenavista,Mexico
Calde,Portugal
Lubāna,Latvia
Kraljevica,Croatia
Dadapan,Indonesia
Sever do Vouga,Portugal
Buchanan,Liberia
Las Lajas,Honduras
Kanḏay,Afghanistan
Gurra e Vogël,Albania
Jajaway,Indonesia
Aginskoye,Russia
Sośnicowice,Poland
Iwakura,Japan
Teknāf,Bangladesh
Cachan,France
Thị Trấn Yên Thế,Vietnam
Aleg,Mauritania
Daming,China
Shenshan,China
Jedlnia-Letnisko,Poland
Huaxijie,China
Dampol,Philippines
Mato Cheirinhos,Portugal
Sartana,Ukraine
Huaiyuan Chengguanzhen,China
Markaz al Marīr,Yemen
Ovidiopol’,Ukraine
Balagon,Philippines
Xinghua,China
Alak,Indonesia
Araras,Brazil
Plomárion,Greece
Iwanai,Japan
Nikolayevka,Russia
Langkapcaang Hilir,Indonesia
Gunjur Kuta,Gambia
Ili,Indonesia
Cilebang Satu,Indonesia
Tapada das Mercês,Portugal
Papilawe,Indonesia
Kup,Poland
Quisqueya,Dominican Republic
Randuagung,Indonesia
Guanajay,Cuba
Yangdu,China
Mlawat,Indonesia
Nguigmi,Niger
Muye,China
Kompaniyivka,Ukraine
Vazhiny,Russia
Negoslavci,Croatia
Åstorp,Sweden
Nova Lima,Brazil
Črenšovci,Slovenia
Jermenovci,Serbia
Ozëry,Russia
Ebene,Mauritius
Sosnówka,Poland
Vrbice,Czech Republic
Borzęta,Poland
Alvesta,Sweden
Kijini,Tanzania
Tanudan,Philippines
Bakhmach,Ukraine
Ush-Tyube,Kazakhstan
Călăraşi,Moldova
Sydney South,Australia
Sarany,Russia
Muskegon,United States
Zambujeira do Mar,Portugal
Bella Vista,Paraguay
Smedjebacken,Sweden
Chagoda,Russia
Caijiapu,China
Humniska,Poland
Maubasa,Indonesia
Wonokerso,Indonesia
Little Rock,United States
Xijiao,China
Wilwerwiltz,Luxembourg
Dolod,China
Degan,China
Xiacang,China
Butajīra,Ethiopia
Bella Vista,Paraguay
Kolaka,Indonesia
Padangtikar,Indonesia
Beloostrov,Russia
Greensboro,United States
Getazat,Armenia
Dong’an,China
Lasiana,Indonesia
Clisson,France
Laoliangcang,China
Amurzet,Russia
Andahuaylillas,Peru
Priargunsk,Russia
Saumur,France
Parakou,Benin
Campechuela,Cuba
Lozova,Ukraine
Hyesan-si,North Korea
Haarlem,Netherlands
Chiscas,Colombia
Xiaofayi,China
Troitskaya,Russia
Itabuna,Brazil
Zaraysk,Russia
Tëploye,Russia
Guayaybi,Paraguay
Young America,United States
Kuala Belait,Brunei
Erdu,China
Huacheng,China
Nashville,United States
Breia,Portugal
Ajung,Indonesia
Petrodvorets,Russia
Saue,Estonia
Compostela,Philippines
Dongjiao,China
Alençon,France
Zhuangke,China
Klinan,Philippines
Linxia Chengguanzhen,China
Boaco,Nicaragua
Kalino,Russia
Jargalant,Mongolia
Nàng Mau,Vietnam
Verkhniye Achaluki,Russia
Chojata,Peru
Knjazevac,Serbia
Shanglu,China
Isoka,Zambia
Palmar de Varela,Colombia
Sudo,Indonesia
Poligny,France
Loa Janan,Indonesia
Itacoatiara,Brazil
Pliska,Bulgaria
Omaha,United States
Xiaoweizhai,China
Leubatang,Indonesia
Viana do Castelo,Portugal
Vathýlakkos,Greece
Tekstil’shchiki,Russia
Mahdia,Tunisia
Anticala,Philippines
Koysinceq,Iraq
Budapest,Hungary
Apóstoles,Argentina
Ak’ordat,Eritrea
Túquerres,Colombia
Sakassou,Ivory Coast
Dhahab,Egypt
Ţahţā,Egypt
Guinabsan,Philippines
Caucaia,Brazil
Somba,Indonesia
Rybno,Poland
Limín Khersonísou,Greece
Tabu,Philippines
Mama,Russia
Ciudad Bolívar,Colombia
Pak Thong Chai,Thailand
Örebro,Sweden
Skoroszyce,Poland
Arnhem,Netherlands
Strunino,Russia
Kuteynykove,Ukraine
Cikadongdong,Indonesia
Dongling,China
Kuala Lumpur,Malaysia
Xiatang,China
Stockholm,Sweden
Volgorechensk,Russia
Pidhaytsi,Ukraine
Gugut,Indonesia
Povorino,Russia
Wudong,China
Bzenec,Czech Republic
Gunung Sugih,Indonesia
Měcholupy,Czech Republic
Ashford,Ireland
Dankunku,Gambia
Dodoma,Tanzania
Sindangsari,Indonesia
Pesqueira,Brazil
Tongole,Sierra Leone
Mehrābpur,Pakistan
Bakovci,Slovenia
Perivólia,Cyprus
Sidamukti,Indonesia
Jindřichův Hradec,Czech Republic
Karpokhórion,Greece
Rekovac,Serbia
Kolç,Albania
Mykonos,Greece
Farrokh Shahr,Iran
Leticia,Colombia
Alvaro Obregon,Mexico
Dubrovka,Russia
Leskovac,Serbia
Dolní Sloupnice,Czech Republic
Lawa-an,Philippines
Kukawa,Nigeria
Tunzhai,China
Gushan,China
Chrast,Czech Republic
Tovarnik,Croatia
Savigny-le-Temple,France
Karangboyo,Indonesia
Sasebo,Japan
Gon’ba,Russia
Teongtoda,Indonesia
Bayt Wazan,Palestinian Territory
Kalidawe,Indonesia
Bāniyās,Syria
Valencia,Philippines
Repatriación,Paraguay
Roldanillo,Colombia
Bayeman,Indonesia
Niederwaldkirchen,Austria
Bajomulyo,Indonesia
Angono,Philippines
Piraí,Brazil
Hushan,China
Shanggan,China
Wawer,Poland
Kanashevo,Russia
Potolo,Bolivia
Sumberrejo,Indonesia
Tulung,Indonesia
Chikwawa,Malawi
Imeni Babushkina,Russia
Ainaži,Latvia
Aquiraz,Brazil
Tanjung,Indonesia
Rokitno,Poland
Yidu,China
Murcia,Spain
Bayawan,Philippines
Zhenhai,China
Sarzedo,Portugal
Kannus,Finland
Qiansuo,China
Lamadong,Indonesia
Nowy Tomyśl,Poland
Káto Asítai,Greece
Golbey,France
Margasari,Indonesia
Lolotique,El Salvador
Casillas,Guatemala
Chợ Mới,Vietnam
Sabanalarga,Colombia
Wleń,Poland
Tiabaya,Peru
Parkent,Uzbekistan
Sidayu,Indonesia
Xuanma,China
Camaquã,Brazil
Krajan Joho,Indonesia
Ludwigshafen am Rhein,Germany
Kamieniec Ząbkowicki,Poland
Daliuhao,China
Yuwan,China
Mardakyany,Azerbaijan
Lukou,China
Pleasant Point,New Zealand
Casselman,Canada
Valinhos,Brazil
Montaigu,France
Munjungan,Indonesia
Akureyri,Iceland
Jati,Indonesia
Ning’an,China
Sarimukti Kaler,Indonesia
El Carmen de Bolívar,Colombia
Dangjiaxian,China
Ma’an,China
Round Rock,United States
Monte-Carlo,Monaco
Edissiya,Russia
Mazańcowice,Poland
Rakvere,Estonia
Barbacoas,Venezuela
Tayasan,Philippines
Phatthalung,Thailand
Guanambi,Brazil
Yingchun,China
Tianqian,China
Yong’an,China
Arvika,Sweden
Khalīlābād,Iran
Apucarana,Brazil
Lagoa do Itaenga,Brazil
Gaobeijie,China
Mariquita,Colombia
Huizhai,China
Lucé,France
Makbon,Indonesia
Qitai,China
Sainte-Agathe-des-Monts,Canada
Rychnov nad Kněžnou,Czech Republic
Pishaj,Albania
Valenciennes,France
Ketian,China
Annacotty,Ireland
Longkou,China
La Concepcion,Mexico
Barr,France
Shuqiao,China
Huotong,China
Bollnäs,Sweden
Gaojiabu,China
Maoping,China
Sipirok,Indonesia
Aktogay,Kazakhstan
Yangjia,China
Kericho,Kenya
Arcos de Valdevez,Portugal
Tarumizu,Japan
Fao Rai,Thailand
Yacuiba,Bolivia
Paço,Portugal
Qingchuan,China
Banjar Kawan,Indonesia
Kranjska Gora,Slovenia
Zhanping,China
Zhishan,China
Faro,Portugal
Villa del Rosario,Argentina
Helsingborg,Sweden
Philadelphia,United States
Conde,Portugal
Bukhovo,Bulgaria
Divinópolis,Brazil
Sofia,Bulgaria
Pagak Kulon,Indonesia
Shihudang,China
Zheleznogorsk,Russia
Tejakalapa,Indonesia
Zhangcunping,China
Hamilton,United States
Bokaa,Botswana
An Naşşārīyah,Palestinian Territory
Youwei,China
Terawas,Indonesia
Ranambeling,Indonesia
Jiblah,Yemen
Furong,China
Czernikowo,Poland
Colorado Springs,United States
Mykolayiv,Ukraine
Nakano,Japan
Fier-Çifçi,Albania
Briceni,Moldova
Weicheng,China
Plalar,Indonesia
Yokohama,Japan
Curahpacul Satu,Indonesia
Kuala Lumpur,Malaysia
Jurm,Afghanistan
Shuanghe,China
Nelson,Canada
Tofol,Micronesia
Xiaochi,China
Baicheng,China
Bāglung,Nepal
Stýpsi,Greece
Toutosa,Portugal
Frashër,Albania
Daweishan,China
Presidente Prudente,Brazil
Berlin,Germany
Kijini,Tanzania
Agrela,Portugal
Jaguariaíva,Brazil
Pante Raja,Indonesia
Zubrzyca Dolna,Poland
Petropavlovsk,Kazakhstan
Kokubu-matsuki,Japan
Sande São Lourenço,Portugal
Nice,France
Tomiya,Japan
Chicoana,Argentina
Ipoh,Malaysia
Tagasilay,Philippines
Makrochóri,Greece
Huanggang,China
Dongjiao,China
Malaga,Spain
New Leyte,Philippines
Dvurechensk,Russia
Karabash,Russia
Linquan,China
Jiaokui,China
Limbangan,Indonesia
Dahe,China
Krajan Ngerdani,Indonesia
Pakemitan,Indonesia
Huangtang,China
Pailles,Mauritius
Nowogard,Poland
Gununggoong,Indonesia
Cruzeiro,Portugal
Eg,Mongolia
Quelimane,Mozambique
Sieroszewice,Poland
Öldziyt,Mongolia
Wichita,United States
Lyeskawka,Belarus
Fernando de Noronha (Distrito Estadual),Brazil
Novobeysugskaya,Russia
Smečno,Czech Republic
Awilega,Indonesia
Aba,Nigeria
Chavarría,Argentina
Zarya,Ukraine
Niquelândia,Brazil
Bagong Barrio,Philippines
Ārifwāla,Pakistan
Lublin,Poland
Puerto Iguazú,Argentina
Banag,Philippines
Shizunai-furukawachō,Japan
Imām Şāḩib,Afghanistan
Tambak,Philippines
Buenavista,Mexico
Hepo,China
Huddinge,Sweden
Itauguá,Paraguay
Кондово,Macedonia
Santa Fe,Philippines
Las Vegas,United States
Pasargunung,Indonesia
Sorang,Kazakhstan
Diavatá,Greece
El Jícaro,Guatemala
Makoba,Botswana
Jiumen,China
Ternovka,Russia
Luziânia,Brazil
Ojos de Agua,Honduras
Morales,Colombia
Korets’,Ukraine
Luotuo,China
Beihuaidian,China
Wang Hin,Thailand
Jatipamor,Indonesia
Novokhopërsk,Russia
Nong Bua Daeng,Thailand
Kasugai,Japan
Kruengraya,Indonesia
Ballitoville,South Africa
Bondy,France
Épinal,France
Kista,Sweden
Janowiec,Poland
Pregradnoye,Russia
Kiel,Germany
Jiangxigou,China
Az̧ Z̧a‘āyin,Qatar
Torez,Ukraine
Gafanha da Encarnação,Portugal
Bogovinje,Macedonia
Harderwijk,Netherlands
Talok,Indonesia
Serra,Brazil
Lukunor,Micronesia
Jdaidet el Matn,Lebanon
Tonoas Municipal Building,Micronesia
Qingban,China
Huangjiabu,China
Himeji,Japan
Molsheim,France
Lixu,China
Liushan,China
Troyan,Bulgaria
Sumalig,Philippines
Timóteo,Brazil
Sanjiang,China
San Felipe,Guatemala
Kotingnatagete,Indonesia
Choropampa,Peru
Candelaria,Philippines
Stegna,Poland
Bobigny,France
Qaxbaş,Azerbaijan
Siaya,Kenya
Mestre,Italy
Le Mans,France
Nouaseur,Morocco
Desakolot,Indonesia
Ujar,Azerbaijan
Guocun,China
Komsomol’sk,Russia
Tamansari,Indonesia
Dallas,United States
Jabinyānah,Tunisia
Wilków,Poland
Muritiba,Brazil
Lucun,China
Tlogowetan,Indonesia
Kastsyukowka,Belarus
Río Ceballos,Argentina
Tumen,China
Mibu,Japan
Fier-Çifçi,Albania
La Condamine,Monaco
Caigangan,Philippines
Linshi,China
Nyaungdon,Myanmar
Villa Constitución,Argentina
Milíkov,Czech Republic
Marihatag,Philippines
Santiago,Chile
Daniwato,Indonesia
Goúvai,Greece
Dula’er Ewenke Minzu,China
Tullinge,Sweden
Tottori,Japan
Santo Domingo Este,Dominican Republic
Usevia,Tanzania
Lyubymivka,Ukraine
Altan Emel,China
Labuhankananga,Indonesia
Sri Jayewardenepura Kotte,Sri Lanka
Dimayon,Philippines
Grzmiąca,Poland
Ilangay,Philippines
Palaihari,Indonesia
Tianjin,China
Yongchang,China
Divnoye,Russia
Kuressaare,Estonia
Carreira,Portugal
Velké Bílovice,Czech Republic
Kishkenekol’,Kazakhstan
